Player,Team,Games,Field Goals,Free Throws,Points,PPG
Katie Smith,Minnesota Lynx,32,204,246,739,23.1
Lisa Leslie,LA Sparks,31,221,142,606,19.5
Tina Thompson,Houston Comets,30,199,137,579,19.3
Janeth Arcain,Houston Comets,32,217,135,591,18.5
Chamique Holdsclaw,Washington Mystics,29,187,101,486,16.8
Yolanda Griffith,Sacremento Monarchs,32,192,134,518,16.2
Tari Phillips,New York Liberty,32,208,73,489,15.3
Lauren Jackson,Seattle Storm,29,149,104,442,15.2
Jackie Stiles,Portland Fire,32,156,116,478,14.9
Natalie Williams,Utah Starzz,31,171,97,439,14.2
Andrea Stinson,Charlote Sting,32,179,63,450,14.1
Sheri Sam,Miami Sol,32,180,57,444,13.9
Nykesha Sales,Orlando Miracle,32,166,58,433,13.5
Merlakia Jones,Cleveland Rockers,30,165,65,404,13.5
Svetlana Abrosimova,Minnesota Lynx,26,114,96,343,13.2
Sandy Brondello,Miami Sol,29,142,57,367,12.7
Taj McWilliams-Franklin,Orlando Miracle,32,157,87,403,12.6
Jennifer Gillom,Phoenix Mercury,32,150,71,395,12.3
Adrienne Goodson,Utah Starzz,28,138,62,343,12.3
Sophia Witherspoon,Portland Fire,31,113,90,373,12.0
Rita Williams,Indiana Fever,32,115,109,380,11.9
Elena Baranova,Miami Sol,32,141,66,378,11.8
Astou Ndiaye,Detroit Shock,32,156,59,376,11.8
Tamecka Dixon,LA Sparks,29,133,68,340,11.7
Shannon Johnson,Orlando Miracle,26,90,84,302,11.6
